value,count,year
41,644497,2004
42,570880,2004
43,504686,2004
44,448328,2004
45,401706,2004
46,359733,2004
47,323551,2004
48,295037,2004
49,273544,2004
50,253262,2004
51,232140,2004
52,212032,2004
53,193346,2004
54,174568,2004
55,157114,2004
56,142842,2004
57,131621,2004
58,122564,2004
59,115618,2004
60,108260,2004
61,102049,2004
62,96324,2004
63,91097,2004
64,86032,2004
65,81876,2004
66,78759,2004
67,75009,2004
68,72578,2004
69,71048,2004
70,69621,2004
71,68521,2004
72,68272,2004
73,66982,2004
74,65681,2004
75,64239,2004
76,61704,2004
77,58772,2004
78,55188,2004
79,50657,2004
80,46009,2004
81,40169,2004
82,34381,2004
83,27831,2004
84,21358,2004
85,15434,2004
86,10255,2004
87,6314,2004
88,3435,2004
89,1731,2004
90,650,2004
91,194,2004
92,44,2004
93,6,2004
0,957401,2005
1,348775,2005
2,237765,2005
3,352208,2005
4,754063,2005
5,1215044,2005
6,1380455,2005
7,1304967,2005
8,1151376,2005
9,1010075,2005
10,898499,2005
11,811906,2005
12,749120,2005
13,707147,2005
14,680867,2005
15,671865,2005
16,680009,2005
17,705863,2005
18,748553,2005
19,799994,2005
20,863688,2005
21,941259,2005
22,1034532,2005
23,1165407,2005
24,1347321,2005
25,1566281,2005
26,1750994,2005
27,1868960,2005
28,1908971,2005
29,1888375,2005
30,1828235,2005
31,1742452,2005
32,1635107,2005
33,1506566,2005
34,1372866,2005
35,1246549,2005
36,1134861,2005
37,1022505,2005
38,910115,2005
39,806307,2005
40,710100,2005
41,627092,2005
42,553890,2005
43,491605,2005
44,438226,2005
45,390652,2005
46,349824,2005
47,315505,2005
48,288652,2005
49,268929,2005
50,248601,2005
51,229308,2005
52,209169,2005
53,191901,2005
54,173618,2005
55,155955,2005
56,142509,2005
57,132610,2005
58,122369,2005
59,114890,2005
60,108067,2005
61,102191,2005
62,95867,2005
63,90415,2005
64,85690,2005
65,81654,2005
66,77533,2005
67,74480,2005
68,72411,2005
69,71507,2005
70,69679,2005
71,69601,2005
72,68291,2005
73,67597,2005
74,66715,2005
75,66086,2005
76,64569,2005
77,62628,2005
78,59020,2005
79,55558,2005
80,50415,2005
81,45146,2005
82,38693,2005
83,31967,2005
84,25009,2005
85,17949,2005
86,12241,2005
87,7470,2005
88,3990,2005
89,1981,2005
90,785,2005
91,223,2005
92,36,2005
93,8,2005
0,964043,2006
1,356245,2006
2,231992,2006
3,339087,2006
4,779419,2006
5,1240035,2006
6,1351399,2006
7,1238736,2006
8,1081751,2006
9,947534,2006
10,844055,2006
11,765694,2006
12,709508,2006
13,672508,2006
14,655475,2006
15,650519,2006
16,664350,2006
17,693148,2006
18,737564,2006
19,790508,2006
20,852600,2006
21,926433,2006
22,1014002,2006
23,1129976,2006
24,1298155,2006
25,1503887,2006
26,1687507,2006
27,1807527,2006
28,1863118,2006
29,1861026,2006
30,1817294,2006
31,1750870,2006
32,1657532,2006
33,1545770,2006
34,1417350,2006
35,1294509,2006
36,1184611,2006
37,1075189,2006
38,963214,2006
39,855669,2006
40,756423,2006
41,669997,2006
42,595116,2006
43,528621,2006
44,470482,2006
45,420130,2006
46,376183,2006
47,338741,2006
48,308227,2006
49,286949,2006
50,264934,2006
51,242371,2006
52,221445,2006
53,203008,2006
54,182800,2006
55,164242,2006
56,149534,2006
57,138094,2006
58,129111,2006
59,120612,2006
60,113465,2006
61,107149,2006
62,100263,2006
63,95378,2006
64,90570,2006
65,85662,2006
66,82085,2006
67,78328,2006
68,75832,2006
69,74389,2006
70,72863,2006
71,72190,2006
72,71178,2006
73,70677,2006
74,70003,2006
75,68560,2006
76,67111,2006
77,65437,2006
78,61898,2006
79,56857,2006
80,52310,2006
81,46504,2006
82,39843,2006
83,32559,2006
84,25319,2006
85,18429,2006
86,12385,2006
87,7511,2006
88,3955,2006
89,1780,2006
90,647,2006
91,180,2006
92,31,2006
93,3,2006
0,961401,2007
1,358865,2007
2,241118,2007
3,403118,2007
4,929110,2007
5,1391562,2007
6,1445006,2007
7,1284782,2007
8,1110849,2007
9,972622,2007
10,868358,2007
11,791316,2007
12,735694,2007
13,699793,2007
14,676791,2007
15,673574,2007
16,682423,2007
17,710269,2007
18,748847,2007
19,802151,2007
20,860381,2007
21,930425,2007
22,1009411,2007
23,1120644,2007
24,1276135,2007
25,1465867,2007
26,1635626,2007
27,1749928,2007
28,1801349,2007
29,1800684,2007
30,1767015,2007
31,1702329,2007
32,1617217,2007
33,1506951,2007
34,1384364,2007
35,1266410,2007
36,1157521,2007
37,1052867,2007
38,941919,2007
39,835931,2007
40,738605,2007
41,654432,2007
42,577262,2007
43,513451,2007
44,458477,2007
45,407342,2007
46,364012,2007
47,328125,2007
48,299205,2007
49,278065,2007
50,257505,2007
51,236624,2007
52,216120,2007
53,196855,2007
54,177423,2007
55,160114,2007
56,145671,2007
57,134773,2007
58,125979,2007
59,117858,2007
60,110545,2007
61,104142,2007
62,97976,2007
63,92555,2007
64,88269,2007
65,84116,2007
66,80217,2007
67,78150,2007
68,75892,2007
69,74795,2007
70,74091,2007
71,73526,2007
72,73524,2007
73,72978,2007
74,73325,2007
75,72779,2007
76,71472,2007
77,69242,2007
78,65694,2007
79,61116,2007
80,56348,2007
81,49612,2007
82,42263,2007
83,34238,2007
84,26546,2007
85,19194,2007
86,12544,2007
87,7630,2007
88,4107,2007
89,1866,2007
90,707,2007
91,161,2007
92,34,2007
93,5,2007
0,955515,2008
1,357886,2008
2,240003,2008
3,367794,2008
4,897373,2008
5,1420719,2008
6,1489304,2008
7,1302739,2008
8,1098797,2008
9,946611,2008
10,837753,2008
11,759015,2008
12,707579,2008
13,671164,2008
14,655639,2008
15,652293,2008
